RowID,Original Row information,Date,Party,Location,Speaker,SpeakerInfo,Question,Topic,Discourse w/names,Discourse w/o names
1,1,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,0,Opening,"HOLT: Good evening, everyone. I’m Lester Holt, and welcome to the first Democratic debate to the 2020 race for president.","Good evening, everyone. I’m Lester Holt, and welcome to the first Democratic debate to the 2020 race for president."
2,2,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,0,Opening,"GUTHRIE: Hi, I’m Savannah Guthrie. And tonight, it’s our first chance to see these candidates go head to head on stage together.","Hi, I’m Savannah Guthrie. And tonight, it’s our first chance to see these candidates go head to head on stage together."
3,3,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,0,Opening,"GUTHRIE: We’ll be joined in our questioning time by our colleagues, Jose Diaz-Balart, Chuck Todd, and Rachel Maddow.","We’ll be joined in our questioning time by our colleagues, Jose Diaz-Balart, Chuck Todd, and Rachel Maddow."
4,4,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,0,Opening,"HOLT: Voters are trying to nail down where the candidates stand on the issues, what sets them apart, and which of these presidential hopefuls has what it takes.","Voters are trying to nail down where the candidates stand on the issues, what sets them apart, and which of these presidential hopefuls has what it takes."
5,5,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,0,Opening,"GUTHRIE: Well, now it’s time to find out.","Well, now it’s time to find out."
6,6,6/26/2019,Democrat,"Miami, Florida",ANNOUNCER,Moderator,0,Opening,"ANNOUNCER: Tonight, round one. New Jersey Senator Cory Booker. Former Housing Secretary Julian Castro. New York City Mayor Bill De Blasio. Former Maryland Congressman John Delaney. Hawaii Congresswoman Tulsi Gabbard. Washington Governor Jay Inslee. Minnesota Senator Amy Klobuchar. Former Texas Congressman Beto O’Rourke. Ohio Congressman Tim Ryan. And Massachusetts Senator Elizabeth Warren. From NBC News, “Decision 2020,” the Democratic candidates debate, live from the Adrienne Arsht Performing Arts Center in Miami, Florida.","Tonight, round one. New Jersey Senator Cory Booker. Former Housing Secretary Julian Castro. New York City Mayor Bill De Blasio. Former Maryland Congressman John Delaney. Hawaii Congresswoman Tulsi Gabbard. Washington Governor Jay Inslee. Minnesota Senator Amy Klobuchar. Former Texas Congressman Beto O’Rourke. Ohio Congressman Tim Ryan. And Massachusetts Senator Elizabeth Warren. From NBC News, “Decision 2020,” the Democratic candidates debate, live from the Adrienne Arsht Performing Arts Center in Miami, Florida."
7,7,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,0,Opening,"HOLT: And good evening again, everyone. Welcome to the candidates and to our audience here in Miami here in the Arts Center and all across the country. Tonight we’re going to take on many of the most pressing issues of the moment, including immigration, the situation unfolding at our border, and the treatment of migrant children.","And good evening again, everyone. Welcome to the candidates and to our audience here in Miami here in the Arts Center and all across the country. Tonight we’re going to take on many of the most pressing issues of the moment, including immigration, the situation unfolding at our border, and the treatment of migrant children."
8,8,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,0,Opening,"GUTHRIE: And we’re going to talk about the tensions with Iran, climate change, and of course, we’ll talk about the economy, those kitchen table issues so many Americans face every day.","And we’re going to talk about the tensions with Iran, climate change, and of course, we’ll talk about the economy, those kitchen table issues so many Americans face every day."
9,9,6/26/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,0,Opening,"DIAZ-BALART: And some quick rules of the road. Before we begin, 20 candidates qualified for this first debate. We’ll hear from 10 tonight and 10 more tomorrow. The breakdown for each was selected at random. The candidates will have 60 seconds to answer and 30 seconds for any follow-ups.","And some quick rules of the road. Before we begin, 20 candidates qualified for this first debate. We’ll hear from 10 tonight and 10 more tomorrow. The breakdown for each was selected at random. The candidates will have 60 seconds to answer and 30 seconds for any follow-ups."
10,10,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,0,Opening,"HOLT: Because of this large field, not every person will be able to comment on every topic, but over the course of the next two hours, we will hear from everyone. We’d also like to ask the audience to keep the reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight.","Because of this large field, not every person will be able to comment on every topic, but over the course of the next two hours, we will hear from everyone. We’d also like to ask the audience to keep the reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight."
